,topics,subtopics,sentences
251,zoning changes,authorizing a transfer of funds from the capital improvements,So yeah let me answer that question two ways first at the kind of macro level which I think you made a good statement there about we you know if we're going to be seeing the city grow and achieving some of the mayor's population goals we'll need to add housing units both where people want to live but across the city so I think that's a fair thing that we want to consider as we're carrying out this project in my opening comments I also said we're not bringing you final ideas or final final recommendations today so as far as like some of the very site-specific things you got into I don't pretend to come to you and say those because those are uniquely desirable residential neighborhoods because of their low density well and the thing I was going to mention the second point you know you you did you almost set us up too well to now make a plug that you know you talked about the Bayview neighborhood specifically and that is an area where we are doing detailed area planning right now led by Alderwoman Dimitrovich just tonight at from between 5 and 7 p.m. we have a meeting at South Shore Pavilion where we're going to present some initial recommendations for Bayview that have come out of the the planning process there so we are certainly looking at that and you know I've been we've certainly heard recommendations from residents in Bayview and I'm not going to pretend this has been unanimous but there's been a lot of people who said we do want to see growth in Bayview and we're certainly trying to accommodate that and and use that specific neighborhood planning process to plan for it so I think we're continuing to do the things we've always done which is plan you know both do neighborhood planning but also acknowledge the thing that you said at the start which is some of these issues when you look at regulatory tools and growth policy we do probably have to do some level of citywide analysis there so that's why we're proposing to undertake this project if you're right that depending on the way that this project unfolds like we certainly want input from the council and that's why we're proposing is a two-phase project where at the end of phase one we come back to you all at the council I presume that would come to ZND here and before we start actually writing you know writing code updates we say here are the general findings that we found here is the some general recommendations around things we want to that we want to advance and I think we'll ask the council this committee and then the council to go on record supporting that before we start right you said you know getting in the weeds of writing code because we don't want to bring you something that's not going to be able to get the support of this council additional questions Mr. Chair all the way yes please go ahead yes yes good afternoon Mr. Chair thank you and thanks for all the love for Bayview we love it and good looking out we are as Sam pointed out in almost a year and a half a very intense planning effort because we want to be part of the city solution we want to be in the driver's seat of our own future and we know we've had a lot of changes and so we are really working on a forward thinking vision how we can be more inclusive what that means what that looks and feels like and what changes need to happen and we've had some really interesting conversations in in Bayview that I'm happy to be part of that I don't think it's taken place at this level for a while however the question I had was kind of how you know how does this complement compare because I wouldn't want to support a citywide plan today that includes changes that I haven't finalized within my own district plan and I just wanted to understand that and we do have that meeting tonight where we're actually it's an open house we're going to first respond to the first draft that's that's what I'm interested in is I do believe we need a citywide plan but I mean where there's districts that are going through this intensive process I want to make sure that that's complemented and not contradicting Mr. Chair.
252,zoning changes,authorizing a transfer of funds from the capital improvements,That's a great question all Roman and I think again I think we look forward to working with all alders as we kind of develop a more detailed scope for this project but as I've initially as we've initially thought about it I think you're right neighborhood planning will continue and neighborhood planning will likely continue kind of dictate you know key sites within individual neighborhoods and some of the you know neighborhood specific planning and how we implement those plans but there's a separate when I said the citywide aspect I also am talking I think about the overall city zoning code there are changes that we think we could be made to the code itself that are not neighborhood specific but that might help again enable some of the types of development that people have spoken about and again I don't want to like my goal today was not to get too far in any specific type of things because I know we don't I don't want to suggest that we've made final you know any kind of final conclusions but just an example that came up earlier was you know the the level of density that's currently allowed on some of our commercial corridors that that's regulated on a citywide basis through the code and there might be you know we as we've looked at in the in the past done TOD planning sorry I should stop using acronyms the transitory development planning one of the things that we've seen and we've also seen in some code administration that we've done is that perhaps you know making some kind of tweaks at the margins or turning the dials on some of those things in the code might better align with existing recommendations that have already been made in plans but have also been kind of you know are are very much citywide in nature and are not specific to one neighborhood or one site.
253,zoning changes,authorizing a transfer of funds from the capital improvements,Mr. Chair just uh I guess I want to be a little bit more direct but what if there's a conflict I mean um like we're really being careful in Bayview to not just say what we don't want but to to say what we do want and specifically where so um you know some of the areas that Alderman Bauman mentioned um are are ones that are being heavily considered for historical preservation our plan as you know is one that's um actually using funding and you should you would love this Alderman Bauman we're doing a bit of a modest of a survey of our historical analysis at the same time while we're planning and so my point is what if like what if the citywide plan says something that conflicts with our neighborhood plan?
254,zoning changes,authorizing a transfer of funds from the capital improvements,Right I think uh I think that's the kind of thing that we want to make sure we're being thoughtful about through the process and again like without um we do want to have more in-depth discussions with individual elders about that but I think that again at a high level one way to maybe think about that is that there's two aspects that govern you know what can you know the city's zoning and what can be done in development throughout the city and there's the zoning map which kind of talks about how individual properties are zoned and then there's also the code the text of the code and you know when we I don't anticipate that the citywide effort that we're talking about is going to get in depth about saying the zoning of site xyz should be changed it might instead say things like commercial corridors you know commercial corridors that are well served by transit and that are currently zoned you know for example our local business 2 district maybe there's tweaks that need to be made to that local business 2 district that will better enable transitory development but I don't anticipate it going in the weeds about any specific map amendments.
255,zoning changes,authorizing a transfer of funds from the capital improvements,So my vote today is not actually changing any code right now.
256,zoning changes,authorizing a transfer of funds from the capital improvements,No this is just the item that's in front of the committee today is to just initiate this process with much of the work taking place during 2023 in close partnership and close coordination with not just the elders on this committee but the elders that yeah and it would also allocate funding for us to begin the process.
257,zoning changes,authorizing a transfer of funds from the capital improvements,Okay all right thank you Mr. Chair appreciate it.
258,zoning changes,authorizing a transfer of funds from the capital improvements,You're welcome.
259,zoning changes,authorizing a transfer of funds from the capital improvements,Any additional questions or comments to committee members?
260,zoning changes,authorizing a transfer of funds from the capital improvements,"If not, Alderman Perez moves for adoption and hearing no objections so ordered."
261,zoning changes,purchasing city-owned tax property ,Moving on the agenda item 8 file number 220458 a resolution authorizing acceptance but unsolicited offer to purchase from Trina Gandhi and for the city-owned tax property located at 2877 North 36th Street in the 15 Aldermanic District.
262,zoning changes,purchasing city-owned tax property ,This is sponsored by Alderman Stamper.
263,zoning changes,purchasing city-owned tax property ,Chris do we have somebody here?
264,zoning changes,purchasing city-owned tax property ,Deborah would you like to introduce?
265,zoning changes,purchasing city-owned tax property ,Good afternoon.
266,zoning changes,purchasing city-owned tax property ,Go ahead.
267,zoning changes,purchasing city-owned tax property ,This is Deborah from DCD Real Estate and unfortunately Ms. Gandhi was not available to appear however she did authorize her real estate agent Keisha Barnes to attend on her behalf.
268,zoning changes,purchasing city-owned tax property ,Okay Mr. Chair.
269,zoning changes,purchasing city-owned tax property ,Alderman.
270,zoning changes,purchasing city-owned tax property ,May I ask how this arose because don't we normally I mean I've seldom seen residential properties come to the committee except where the buyer is an ineligible person to obtain a redemption is that what do we have here?
271,zoning changes,purchasing city-owned tax property ,We have an unsolicited sale so the property was not marked.
272,zoning changes,purchasing city-owned tax property ,Okay because it's fire damaged and okay.
273,zoning changes,purchasing city-owned tax property ,"The offer price is what $5,000?"
274,zoning changes,purchasing city-owned tax property ,That's correct.
275,zoning changes,purchasing city-owned tax property ,Okay Alderman Stamper you have any comments?
276,zoning changes,purchasing city-owned tax property ,Yeah thank you Mr. Chair.
277,zoning changes,purchasing city-owned tax property ,Not really.
278,zoning changes,purchasing city-owned tax property ,They reached out with the interest of rehabbing the property for home ownership so I connected them with DCD.
279,zoning changes,purchasing city-owned tax property ,Well actually it's investor ownership right?
280,zoning changes,purchasing city-owned tax property ,Right I think it's an investor-owned property correct and it's a real estate agent here maybe they can.
281,zoning changes,purchasing city-owned tax property ,Where does the buyer live?
282,zoning changes,purchasing city-owned tax property ,Ms. Barnes you can go ahead.
283,zoning changes,purchasing city-owned tax property ,The buyer currently lives in Menomonee Falls it is a it's a investor purchase to rehab as Alderman Stamper said they're going to rehab it and then put it back on the market for a homeowner.
284,zoning changes,purchasing city-owned tax property ,Okay.
285,zoning changes,purchasing city-owned tax property ,Did that answer the question?
286,zoning changes,purchasing city-owned tax property ,Yes.
287,zoning changes,purchasing city-owned tax property ,Any additional questions or comments?
288,zoning changes,purchasing city-owned tax property ,Alderman Stamper wants us to move forward with this?
289,zoning changes,purchasing city-owned tax property ,Yeah I guess so.
290,zoning changes,purchasing city-owned tax property ,He's a sponsor.
291,zoning changes,purchasing city-owned tax property ,Yes I'll support it.
292,zoning changes,purchasing city-owned tax property ,Alderman Stamper moves for approval are there any objections?
293,zoning changes,property registration ,"Proceeding on the agenda file number 210956 the substitute ordinance relating to property registration sponsored by Alderman Stamper, Alderman Perez and Alderman Hamilton."
294,zoning changes,property registration ,Thank you Mr. Chair.
295,zoning changes,property registration ,Thank you Mr. Chair.
296,zoning changes,property registration ,Thank you Mr. Chair.
297,zoning changes,property registration ,Thank you Mr. Chair.
298,zoning changes,property registration ,Thank you Mr. Chair.
299,zoning changes,property registration ,Thank you Mr. Chair.
300,zoning changes,property registration ,Thank you Mr. Chair.
301,zoning changes,property registration ,Thank you Mr. Chair.
302,zoning changes,property registration ,Thank you Mr. Chair.
303,zoning changes,property registration ,Thank you Mr. Chair.
304,zoning changes,property registration ,Just for the record I know that council members may have received a letter from the Department of City Development as it relates to this file they've requested it to be held at this time.
305,zoning changes,property registration ,Is somebody here from the department.
306,zoning changes,property registration ,Yes.
307,zoning changes,property registration ,Mr. Chair.
308,zoning changes,property registration ,Mr. Chair I support the hold.
309,zoning changes,property registration ,We can hold this.
310,zoning changes,property registration ,Do you want to just briefly.
311,zoning changes,property registration ,What did you say?
312,zoning changes,property registration ,Your motion is to hold at this time.
313,zoning changes,property registration ,Yeah let's hold it.
314,zoning changes,property registration ,Okay at this time Alderman Stamper moves to hold and hearing no objections so ordered.
315,zoning changes,property registration ,Thank you.
316,zoning changes,property registration ,Thank you.
317,zoning changes,property registration ,Item 10 on the agenda.
318,zoning changes,property registration ,File number 211891.
319,zoning changes,property registration ,A resolution relating to a retroactive certificate of appropriateness for staining brick at 2422 North Sherman Boulevard in the Sherman Boulevard Historic District for David Griffin.
320,zoning changes,property registration ,And once again it's a public hearing for those wishing to provide oral testimony please let me know so.
321,zoning changes,property registration ,HVC Ms. Hatala you would like to begin or?
322,zoning changes,property registration ,Who would like to begin?
323,zoning changes,property registration ,I'll start.
324,zoning changes,property registration ,Okay.
325,zoning changes,property registration ,Ms. Hatala.
326,zoning changes,property registration ,Good afternoon members of the committee.
327,zoning changes,property registration ,My name is Karlyn Hatala and I'm one of the staff members to the Historic Preservation Commission.
328,zoning changes,property registration ,"This project came to us, came to the Historic Preservation Commission by way of citizen complaint that property owner was doing something to his property that was not appropriate and not in the preservation guidelines."
329,zoning changes,property registration ,Let's see.
330,zoning changes,property registration ,Come on.
331,zoning changes,property registration ,Let me try this.
332,zoning changes,property registration ,Okay.
333,zoning changes,property registration ,"The property owner is David Griffin and he has owned this house on Sherman Boulevard since June 15, 2020."
334,zoning changes,property registration ,"Brochures were mailed out to property owners in historic districts on about January 7, 2021."
335,zoning changes,property registration ,This brochure outlined the requirements for obtaining a certificate of appropriateness and also indicated that the person who receives this brochure is in a historic district and something to be celebrated.
336,zoning changes,property registration ,Oops.
337,zoning changes,property registration ,And this is the property at 2422 North Sherman Boulevard before.
338,zoning changes,property registration ,"It's a 1921 house designed by a prominent architect, Milwaukee architect called George Zogel."
339,zoning changes,property registration ,"He designed beautiful, very thoughtful interiors and exteriors during the bungalow era and his career extended past World War II."
340,zoning changes,property registration ,And this is a view of the house in its original state.
341,zoning changes,property registration ,And this is a view of the back of the house showing that there were portions of the house that were stucco clad and they were that creamy color and then the brick extended around the house.
342,zoning changes,property registration ,And this is sort of a close-up to show the texture of the brick.
343,zoning changes,property registration ,"And these are, let's see, bottom right is an inspector photo."
344,zoning changes,property registration ,The top left is either the complainant's photo or me after I took a quick drive by.
345,zoning changes,property registration ,"It's kind of a blue-tinted brown at this point and very monochromatic as opposed to what you saw before, which is a highly textured multicolor kind of buff brick."
346,zoning changes,property registration ,Can I say something?
347,zoning changes,property registration ,Sure.
348,zoning changes,property registration ,The texture of the brick in the book is still there.
349,zoning changes,property registration ,That didn't go nowhere.
350,zoning changes,property registration ,"It just said who you are, what's your name?"
351,zoning changes,property registration ,My name is David Griffin.
352,zoning changes,property registration ,I'm the house owner.
353,zoning changes,property registration ,Okay.
354,zoning changes,property registration ,"Yeah, that texture in the above is still there."
355,zoning changes,property registration ,It didn't take none of that away.
356,zoning changes,property registration ,Very good.
357,zoning changes,property registration ,Thank you.
358,zoning changes,property registration ,And it's a brown.
359,zoning changes,property registration ,It's a dark brown.
360,zoning changes,property registration ,It's not a blue.
361,zoning changes,property registration ,It's not a gray.
362,zoning changes,property registration ,Right.
363,zoning changes,property registration ,It's a brown.
364,zoning changes,property registration ,Okie doke.
365,zoning changes,property registration ,Okay.
366,zoning changes,property registration ,Continue.
367,zoning changes,property registration ,Here is our circa 1990 photo and another photo of the current state.
368,zoning changes,property registration ,This is Mr. Griffin's receipt and details for the kind of stain he applied to the house.
369,zoning changes,property registration ,The Historic Preservation Commission denied retroactive approval for this change of color because it is essentially irreversible.
370,zoning changes,property registration ,Discussion has been had about every possible alternative.
371,zoning changes,property registration ,"Multiple conservators were consulted by members of HPC, the commission members themselves, and the staff."
372,zoning changes,property registration ,"The only way to bring about any sort of restoration is to apply a mineral paint over it, which could bring the color closer to the original state."
373,zoning changes,property registration ,A prior owner who has been in contact with Ms. Hadula also suggested that even just painting the mortar joints could be a solution that would help address how monochromatic the home is now.
374,zoning changes,property registration ,"So staff's recommendation is to deny and let us pursue, at the very least, a test sample area with one of these mineral paints before dismissing this case entirely."
375,zoning changes,property registration ,"I do want to hear from the local person, Alderman."
376,zoning changes,property registration ,"This is Alderman Stamper's District, right?"
377,zoning changes,property registration ,I believe it is.
378,zoning changes,property registration ,Yes.
379,zoning changes,property registration ,"Alderman Stamper, do you have any comments?"
380,zoning changes,property registration ,"Well, what's left?"
381,zoning changes,property registration ,Is the owner able to speak?
382,zoning changes,property registration ,"Yeah, absolutely."
383,zoning changes,property registration ,Have you guys consulted about this possible testing for a different color?
384,zoning changes,property registration ,Yes.
385,zoning changes,property registration ,Okay.
386,zoning changes,property registration ,What was that conversation?
387,zoning changes,property registration ,"Well, the conversation was like, can we, in any way possible, take a color out of the old brick to match it up as close as possible?"
388,zoning changes,property registration ,"I said, yeah, it's possible."
389,zoning changes,property registration ,You can take one of the colors.
390,zoning changes,property registration ,"The original brick got maybe about three or four different colors in there, and you would have to probably paint one of those colors out of that brick to paint the house over again."
391,zoning changes,property registration ,But you can also put what this man suggested.
392,zoning changes,property registration ,"You can put that over that paint and introduce a different color into it, into the grain of the brick."
393,zoning changes,property registration ,Okay.
394,zoning changes,property registration ,"So, Mr. Griffin, do you live there?"
395,zoning changes,property registration ,"Yes, sir."
396,zoning changes,property registration ,Okay.
397,zoning changes,property registration ,All right.
398,zoning changes,property registration ,I would like to see them work it out.
399,zoning changes,property registration ,Can they work that out based on the recommendation of the Historic Preservation Committee?
400,zoning changes,property registration ,"Mr. Griffin, you're here to appeal the order, correct?"
401,zoning changes,property registration ,Pardon me?
402,zoning changes,property registration ,You're here to appeal the order?
403,zoning changes,property registration ,"Well, at first I was, but I'm willing to work, do whatever we've got to do to solve this problem, because really I didn't know, and I really don't want to be here in front of you guys if I knew this was going to happen, and I really don't."
404,zoning changes,property registration ,Right.
405,zoning changes,property registration ,"You know, I'm willing to go whatever works."
406,zoning changes,property registration ,I'll go with you guys.
407,zoning changes,property registration ,Let's figure this thing out.
408,zoning changes,property registration ,Get this over with.
409,zoning changes,property registration ,"Everything, Mr. Chair?"
410,zoning changes,property registration ,"Go ahead, Alderman Baumann."
411,zoning changes,property registration ,"Thank you, Mr. Chairman, to Alderman Stamper and members of the committee."
412,zoning changes,property registration ,"I mean, this is, the Historic Preservation Commission discussed this case at length at least twice, and it was our final judgment that there is no possible way we could issue a certificate of appropriateness in this case, because that would basically be saying that this is appropriate when it clearly isn't appropriate."
413,zoning changes,property registration ,"What complicates the case is that we're hearing from experts that said, well, there's nothing you can do about it."
414,zoning changes,property registration ,"Well, that even makes it worse to issue a COA, because once we issue a COA for full house painting of brick buildings, why would anyone else not do it and just go out and do it and not apply for the proper review?"
415,zoning changes,property registration ,"And if someone complained, there'd be a hearing, and they'd say, well, you gave it to this gentleman."
416,zoning changes,property registration ,We're entitled to the same after-the-fact approval as you got.
417,zoning changes,property registration ,And so basically your historic standards essentially are out the window for Sherman Boulevard.
418,zoning changes,property registration ,It's a practical matter.
419,zoning changes,property registration ,"Anyone can do anything they want, and they'll automatically get an appeal approved by the council."
420,zoning changes,property registration ,So why even bother at some point?
421,zoning changes,property registration ,There's no point in having historic preservation.
422,zoning changes,property registration ,"There's no point focusing on the great blocks of Grant Boulevard and Sherman Boulevard, because if you start granting everybody an exception because they're nice guys or you feel sorry for them, you might as well abolish historic preservation in those neighborhoods and everybody for himself."
423,zoning changes,property registration ,"So that's a policy call, and maybe that's what the neighborhood wants."
424,zoning changes,property registration ,"Maybe the neighborhood wants to abolish historic preservation on Grant Boulevard and Sherman Boulevard, and that's their right to make that point."
425,zoning changes,property registration ,That's the right of their local elected official to advance that argument.
426,zoning changes,property registration ,"I suspect there will be some neighbors who object to that, but that's why we have democracy."
427,zoning changes,property registration ,We cannot grant a COA for this unless you want the integrity of the historic review process completely destroyed.
428,zoning changes,property registration ,It's just that simple.
429,zoning changes,property registration ,I realize we're in a political environment.
430,zoning changes,property registration ,That's fine.
431,zoning changes,property registration ,"If that's the political choice, we live with it."
432,zoning changes,property registration ,But understand what you're doing.
433,zoning changes,property registration ,Fully understand the big-picture consequences of granting this appeal.
434,zoning changes,property registration ,"Now, if people want to work together and find a solution, great."
435,zoning changes,property registration ,Then we hold this and get a report back in September as to how it went.
436,zoning changes,property registration ,But I just wanted to put that out there so people understood it's not a matter of nice guys or we feel sorry for you or it's an excusable neglect situation.
437,zoning changes,property registration ,"What they did was arguably irreversible, and that puts this in a very unique category."
438,zoning changes,property registration ,"Yeah, I get that."
439,zoning changes,property registration ,But I can tell from Mr. Griffin there was no ill intent.
440,zoning changes,property registration ,He didn't know about it.
441,zoning changes,property registration ,He didn't know he was in a historic area.
442,zoning changes,property registration ,"So, I mean, in one aspect of it, it was done, I think, unintentionally, right?"
443,zoning changes,property registration ,"But now it can't be reversed because, as our experts say, it's pretty much done."
444,zoning changes,property registration ,"But you can try and mitigate it as much as possible, but it's not going to be a big change."
445,zoning changes,property registration ,"But I think it's appropriate to hold it, to give it a shot, and see what our options are to try and make a little bit less of it."
446,zoning changes,property registration ,"Do we not, as a city, notify when there's a sale transaction?"
447,zoning changes,property registration ,It's part of their deed.
448,zoning changes,property registration ,Is it part of the deed itself?
449,zoning changes,property registration ,The federal report will show that.
450,zoning changes,property registration ,It will show that.
451,zoning changes,property registration ,It is in the title report.
452,zoning changes,property registration ,"Unfortunately, Milwaukee County wants to charge us $800 a month to be able to even have access to the database to send out letters."
453,zoning changes,property registration ,So have we been doing that?
454,zoning changes,property registration ,No.
455,zoning changes,property registration ,So how would he know?
456,zoning changes,property registration ,Because it's in the deed.
457,zoning changes,property registration ,And we are sure and absolutely it was in his deed.
458,zoning changes,property registration ,Totally complete.
459,zoning changes,property registration ,"And we did mail out these pamphlets, and actually twice now."
460,zoning changes,property registration ,"Yeah, we sent it out again this year."
461,zoning changes,property registration ,"Starting last year after a long hiatus, we have mailed out this brochure to every owner in the city."
462,zoning changes,property registration ,"We frequently get this, Alderman Murphy."
463,zoning changes,property registration ,What's that?
464,zoning changes,property registration ,"We frequently get this situation when people buy a sheriff's sale where there's no title report and no title insurance, or land contract transactions where there's no title insurance."
465,zoning changes,property registration ,"So then they don't even know, yeah."
466,zoning changes,property registration ,"And what is the city supposed to do, go around and?"
467,zoning changes,property registration ,"Yeah, I mean, I understand."
468,zoning changes,property registration ,"Go ahead, Mr. Griffin."
469,zoning changes,property registration ,You had any further comments?
470,zoning changes,property registration ,Not at this time.
471,zoning changes,property registration ,I would like an opportunity to speak.
472,zoning changes,property registration ,Sure.
473,zoning changes,property registration ,What's your name?
474,zoning changes,property registration ,"My name is Charles Stewart, and I would like to respond to the complainant regarding this property."
475,zoning changes,property registration ,My family has been in the historic renovation and purchase of properties in Milwaukee and historic districts.
476,zoning changes,property registration ,Your question is on the microphone.
477,zoning changes,property registration ,"Oh, okay."
478,zoning changes,property registration ,My name is Charles Stewart.
479,zoning changes,property registration ,My family has been in the building and historical maintenance of properties that my grandfather built in the 1920s.
480,zoning changes,property registration ,This is a property that my grandfather built.
481,zoning changes,property registration ,He was a carpenter.
482,zoning changes,property registration ,My uncle was a mason.
483,zoning changes,property registration ,I personally purchased this property approximately 10 years ago so that it would be properly maintained and honored the quality of the building that he did.
484,zoning changes,property registration ,"Obviously, he found an excellent architect."
485,zoning changes,property registration ,The house is designed terrifically.
486,zoning changes,property registration ,"So I purchased the property, and Mr. Griffin has been employed by me for 15 years as a painter, almost exclusively on historic properties."
487,zoning changes,property registration ,I have owned properties in each of the historic districts in Milwaukee.
488,zoning changes,property registration ,"It's Wall Avenue and 3417 North Sherman and 2863 North Grant, and I picked up the pieces from the city and the federal government on these historic houses, got the certificates of appropriateness and all of the above, and I want to see this house partially repainted since there seems to be an objection."
489,zoning changes,property registration ,"I do own and I have developed properties interior-wise that are in historic districts, and as I say, Mr. Griffin was the one that did all of the work."
490,zoning changes,property registration ,He's also a carpenter.
491,zoning changes,property registration ,"So my impression of what's appropriate based on what my family built carpentry-wise, what my family did mason-wise, the architect they chose, this is not an attempt to start a revolution of people painting everything in appropriate colors."
492,zoning changes,property registration ,"I feel that there are properties that are in the gray spectrum of colors that have been approved for the other historic districts, one of which I used to own."
493,zoning changes,property registration ,"So I just want it understood that the legacy of the property is partially my family's, and that's why I sold it to Mr. David Griffin, because I wanted to make certain that it had the best of care and attention, and I did not want to sell it to a flipper or a dipper or anything else."
494,zoning changes,property registration ,I wanted to sell it to a resident of the neighborhood who will live there.
495,zoning changes,property registration ,"He has 10-year financing with me, and in 10 years it will be paid off and his family will have an asset in a great community."
496,zoning changes,property registration ,So that's it.
497,zoning changes,property registration ,"Okay, thank you."
498,zoning changes,property registration ,So you knew this was an historic district?
499,zoning changes,property registration ,I knew it was a historic property.
500,zoning changes,property registration ,"No, you knew this property was in an historic district?"
501,zoning changes,property registration ,That is correct.
502,zoning changes,property registration ,And you sold it to him on land contract?
503,zoning changes,property registration ,That is correct.
504,zoning changes,property registration ,"So there was no warranty deed conveyed from you to him, correct?"
505,zoning changes,property registration ,That is correct.
506,zoning changes,property registration ,So you knew it was in a historic district?
507,zoning changes,property registration ,"Yes, it was in the same district as Grant Boulevard and 3417 Sherman, 2863 Grant, which I also owned."
508,zoning changes,property registration ,And you didn't think it was relevant to tell him?
509,zoning changes,property registration ,"Apparently both the city and the federal government that I purchased each of these properties from, which took almost a year, they made me sign a statement that says there's no asbestos here, there's no lead here, when there were kids 2 years old, a 4-year-old Hispanic on 2863."
510,zoning changes,property registration ,What does that have to do with historic districts?
511,zoning changes,property registration ,It's got to do with the fact that I was lied to about the condition of these properties when I purchased them.
512,zoning changes,property registration ,"Yes, they were historic."
513,zoning changes,property registration ,Who lied to you?
514,zoning changes,property registration ,The city of Milwaukee.
515,zoning changes,property registration ,"If Tom Barrow was here, he'd say..."
516,zoning changes,property registration ,He'd say he was lied to?
517,zoning changes,property registration ,"No, he would say I had a conference, a press conference, on the porch of the house that I appropriately rehabbed and got a certificate of appropriateness for the central area unit outside."
518,zoning changes,property registration ,I know the law.
519,zoning changes,property registration ,So you've gone through the COE process on this property?
520,zoning changes,property registration ,"Yes, I have."
521,zoning changes,property registration ,"And it bothers me that somebody wants to get off track with a property owner who couldn't be more appropriate and is willing to change the color, essentially, back to a derivative of what it was."
522,zoning changes,property registration ,"If somebody in the neighborhood doesn't like the color, that's..."
523,zoning changes,property registration ,It's not a matter of liking the color.
524,zoning changes,property registration ,It's contrary to the design standards adopted by the Common Council when the historic district was created.
525,zoning changes,property registration ,It's not a matter of liking.
526,zoning changes,property registration ,We're changing it.
527,zoning changes,property registration ,We're not asking you to keep the color that you think is inappropriate.
528,zoning changes,property registration ,Thank you.
529,zoning changes,property registration ,That's what we're here for.
530,zoning changes,property registration ,Then we can get to the patches and the color and restore it so that might...
531,zoning changes,property registration ,"All right, so the motion is to hold it."
532,zoning changes,property registration ,So we're going to hold this item and see what we can do in terms of compromise and come back before the meeting.
533,zoning changes,property registration ,"Mr. Chair, Mr. Chair."
534,zoning changes,property registration ,"Yeah, thank you."
535,zoning changes,property registration ,"On the whole, does everybody know what we're facing here?"
536,zoning changes,property registration ,"So if we deny it, what happens?"
537,zoning changes,property registration ,"And if we hold it, are they going to come back with a historical preservation approval or something similar?"
538,zoning changes,property registration ,"I mean, I think the motion to hold it is to find out if there's any potential technical solution to assist in lessening the issue."
539,zoning changes,property registration ,"But his appeal still stands, and it would come back before the committee, but we would get a better feel of what that is."
540,zoning changes,property registration ,"But I guess to run the logic out, if the appeal is denied and he does not receive the certificate of appropriateness, what's the outcome of that?"
541,zoning changes,property registration ,What happens because it's painted?
542,zoning changes,property registration ,Right.
543,zoning changes,property registration ,What happens?
544,zoning changes,property registration ,What happens?
545,zoning changes,property registration ,"Eventually, DNS takes it to court."
546,zoning changes,property registration ,For what?
547,zoning changes,property registration ,For a fine?
548,zoning changes,property registration ,Yes.
549,zoning changes,property registration ,And is it a one-time fine?
550,zoning changes,property registration ,"Typically, until some sort of remedy is achieved."
551,zoning changes,property registration ,"But as you indicated, you can't change it."
552,zoning changes,property registration ,It's too late.
553,zoning changes,property registration ,"So that's not an acceptable solution, right?"
554,zoning changes,property registration ,Yes.
555,zoning changes,property registration ,"And, Mr. Chair, for the record, I would like to say that if this had just been the stucco, we wouldn't even be here."
556,zoning changes,property registration ,It's the brick.
557,zoning changes,property registration ,I get it.
558,zoning changes,property registration ,"But I mean, the logic is you're not going to find them if you can't fix it."
559,zoning changes,property registration ,"The court's going to say to you, the guy can't fix it."
560,zoning changes,property registration ,How does the court do that?
561,zoning changes,property registration ,Historic HPC.
562,zoning changes,property registration ,"Yeah, I get that, but I'm just running the logic out of it."
563,zoning changes,property registration ,Yeah.
564,zoning changes,property registration ,"I mean, there are mineral."
565,zoning changes,property registration ,Can we finish the logic?
566,zoning changes,property registration ,"Please, let's finish the logic."
567,zoning changes,property registration ,What happens?
568,zoning changes,property registration ,"I'm just saying that more than likely, if the appeal is not granted, DCE takes them to court."
569,zoning changes,property registration ,And it gets to court.
570,zoning changes,property registration ,And the court's going to do what they want to do.
571,zoning changes,property registration ,"But, I mean, usually in this case, it's like a fine."
572,zoning changes,property registration ,And you can increase that fine or have a monthly increase into the fine or it's a monthly fine.
573,zoning changes,property registration ,"But, I mean, the solution is to fix it."
574,zoning changes,property registration ,"And the court's going to ask, well, why can't you fix it?"
575,zoning changes,property registration ,"And the Housing Historical Preservation is going to say, you can't fix it."
576,zoning changes,property registration ,They're testifying today.
577,zoning changes,property registration ,You can't really fix it.
578,zoning changes,property registration ,So I'm just telling you that's reality.
579,zoning changes,property registration ,"We're all saying here that a mineral paint may be an option to lessen the effect, at least."
580,zoning changes,property registration ,Okay.
581,zoning changes,property registration ,So he's going to try and maybe do that.
582,zoning changes,property registration ,"Go ahead, sir."
583,zoning changes,property registration ,Yes.
584,zoning changes,property registration ,"I could, if they want to, we could paint the whole house or stain the whole house again to the color of one of the colors out of the original brick."
585,zoning changes,property registration ,That can be done.
586,zoning changes,property registration ,Okay.
587,zoning changes,property registration ,There's just no problem with that.
588,zoning changes,property registration ,This can be done.
589,zoning changes,property registration ,It's just we're sitting down at the table making a decision on what color we want to paint the house.
590,zoning changes,property registration ,"Well, that's why you reasoned the motion by Allman Stamper and Allman Bonds to hold it to try and get to that situation."
591,zoning changes,property registration ,So we're going to hold it.
592,zoning changes,property registration ,Right.
593,zoning changes,property registration ,And so we're just trying to find a solution.
594,zoning changes,property registration ,Okay.
595,zoning changes,property registration ,Thank you.
596,zoning changes,property registration ,Thank you.
597,zoning changes,property registration ,I hear no objection to that motion.
598,zoning changes,property registration ,It's held.
599,zoning changes,property registration ,"Okay, sir."
600,zoning changes,property registration ,Proceeding on the agenda.
601,zoning changes,property registration ,"Item 10, file number 211891."
602,2021 Annual Report of Tax Incremental District Statistics,delivering report,"Excuse me, file 11, file number 220286, communication with Department of City Development, transmitting the 2021 Annual Report of Tax Incremental District Statistics."
603,2021 Annual Report of Tax Incremental District Statistics,delivering report,"I mean, I get what you're saying."
